iter	Passed	Remaining
0	197	197503
1	244	122035
2	290	96634
3	324	80676
4	357	71175
5	393	65131
6	430	61126
7	463	57491
8	496	54643
9	527	52271
10	559	50304
11	590	48658
12	621	47169
13	653	46047
14	687	45171
15	715	44018
16	747	43244
17	782	42673
18	814	42036
19	846	41486
20	879	41007
21	912	40583
22	943	40057
23	983	40002
24	1021	39829
25	1054	39503
26	1089	39276
27	1124	39033
28	1159	38829
29	1191	38511
30	1222	38226
31	1255	37964
32	1284	37634
33	1314	37346
34	1348	37176
35	1378	36920
36	1410	36721
37	1441	36496
38	1474	36339
39	1506	36161
40	1537	35966
41	1569	35796
42	1601	35648
43	1633	35486
44	1664	35316
45	1696	35190
46	1729	35070
47	1759	34899
48	1789	34726
49	1821	34607
50	1852	34478
51	1888	34431
52	1926	34426
53	1959	34328
54	1990	34196
55	2024	34123
56	2054	33993
57	2086	33879
58	2117	33770
59	2151	33699
60	2181	33586
61	2213	33481
62	2245	33391
63	2276	33293
64	2309	33222
65	2345	33192
66	2377	33103
67	2409	33027
68	2444	32979
69	2481	32963
70	2513	32881
71	2544	32801
72	2576	32713
73	2607	32624
74	2637	32528
75	2670	32463
76	2703	32402
77	2736	32347
78	2769	32285
79	2798	32178
80	2830	32110
81	2860	32019
82	2895	31986
83	2929	31947
84	2963	31896
85	2995	31839
86	3033	31837
87	3067	31785
88	3101	31743
89	3136	31714
90	3168	31649
91	3203	31620
92	3237	31574
93	3270	31521
94	3299	31434
95	3326	31326
96	3354	31231
97	3390	31204
98	3424	31165
99	3458	31122
100	3489	31061
101	3526	31051
102	3568	31074
103	3605	31066
104	3636	30995
105	3669	30945
106	3702	30901
107	3734	30841
108	3766	30787
109	3801	30761
110	3831	30683
111	3863	30631
112	3893	30565
113	3927	30521
114	3959	30470
115	3991	30420
116	4024	30369
117	4055	30311
118	4092	30297
119	4129	30282
120	4161	30233
121	4195	30190
122	4228	30150
123	4260	30098
124	4290	30036
125	4324	29994
126	4352	29921
127	4386	29880
128	4418	29834
129	4452	29796
130	4484	29751
131	4516	29699
132	4549	29654
133	4578	29589
134	4610	29539
135	4644	29503
136	4674	29446
137	4706	29396
138	4739	29355
139	4775	29336
140	4809	29300
141	4850	29309
142	4884	29270
143	4916	29224
144	4948	29176
145	4978	29123
146	5015	29103
147	5074	29211
148	5113	29205
149	5145	29159
150	5181	29132
151	5218	29113
152	5256	29100
153	5292	29072
154	5325	29032
155	5355	28977
156	5383	28906
157	5410	28831
158	5442	28785
159	5477	28755
160	5509	28708
161	5540	28661
162	5572	28614
163	5601	28552
164	5633	28507
165	5660	28437
166	5690	28384
167	5722	28339
168	5756	28306
169	5782	28233
170	5812	28178
171	5846	28145
172	5877	28094
173	5908	28046
174	5939	27999
175	5966	27933
176	5996	27884
177	6028	27841
178	6062	27805
179	6096	27771
180	6127	27726
181	6160	27688
182	6193	27650
183	6222	27593
184	6252	27546
185	6283	27498
186	6313	27448
187	6346	27410
188	6375	27359
189	6409	27323
190	6442	27286
191	6474	27248
192	6507	27210
193	6542	27181
194	6573	27136
195	6603	27085
196	6633	27039
197	6663	26989
198	6695	26951
199	6727	26909
200	6760	26872
201	6798	26858
202	6836	26840
203	6868	26802
204	6902	26769
205	6932	26720
206	6963	26675
207	6995	26636
208	7020	26571
209	7051	26528
210	7086	26498
211	7117	26456
212	7149	26415
213	7180	26373
214	7209	26322
215	7243	26289
216	7275	26250
217	7309	26220
218	7343	26187
219	7374	26145
220	7406	26105
221	7435	26059
222	7460	25994
223	7491	25953
224	7521	25906
225	7552	25865
226	7584	25828
227	7620	25804
228	7654	25772
229	7687	25736
230	7719	25699
231	7752	25663
232	7787	25634
233	7814	25579
234	7847	25547
235	7883	25520
236	7914	25481
237	7947	25445
238	7975	25395
239	8007	25356
240	8039	25319
241	8071	25280
242	8103	25242
243	8128	25186
244	8160	25146
245	8191	25106
246	8223	25070
247	8256	25035
248	8287	24996
249	8318	24955
250	8350	24917
251	8378	24868
252	8414	24845
253	8452	24825
254	8480	24777
255	8512	24740
256	8545	24705
257	8576	24664
258	8609	24631
259	8642	24597
260	8673	24557
261	8704	24519
262	8735	24478
263	8764	24434
264	8800	24409
265	8832	24371
266	8862	24329
267	8894	24294
268	8926	24257
269	8953	24207
270	8984	24167
271	9011	24119
272	9046	24090
273	9078	24055
274	9111	24021
275	9143	23984
276	9176	23952
277	9214	23932
278	9246	23894
279	9281	23866
280	9314	23832
281	9345	23793
282	9374	23751
283	9407	23716
284	9441	23685
285	9473	23651
286	9504	23611
287	9534	23570
288	9565	23532
289	9598	23499
290	9627	23456
291	9659	23421
292	9685	23370
293	9716	23333
294	9746	23293
295	9779	23259
296	9811	23222
297	9841	23184
298	9873	23148
299	9904	23110
300	9934	23071
301	9966	23036
302	10006	23019
303	10039	22985
304	10071	22950
305	10103	22915
306	10132	22873
307	10165	22840
308	10200	22811
309	10231	22774
310	10265	22742
311	10298	22708
312	10334	22683
313	10364	22644
314	10398	22613
315	10424	22564
316	10456	22528
317	10489	22496
318	10524	22467
319	10555	22430
320	10586	22394
321	10621	22363
322	10653	22329
323	10683	22291
324	10716	22257
325	10748	22221
326	10784	22194
327	10815	22158
328	10846	22122
329	10879	22088
330	10913	22058
331	10946	22024
332	10980	21993
333	11011	21957
334	11042	21919
335	11074	21884
336	11104	21845
337	11134	21807
338	11167	21774
339	11198	21738
340	11230	21704
341	11263	21671
342	11297	21639
343	11322	21592
344	11356	21561
345	11390	21530
346	11422	21495
347	11454	21461
348	11486	21426
349	11518	21391
350	11552	21360
351	11583	21324
352	11626	21308
353	11661	21280
354	11693	21246
355	11725	21211
356	11754	21172
357	11785	21135
358	11816	21098
359	11850	21067
360	11887	21041
361	11921	21010
362	11953	20976
363	11986	20943
364	12039	20944
365	12082	20929
366	12112	20892
367	12146	20860
368	12181	20831
369	12214	20797
370	12251	20770
371	12282	20734
372	12312	20696
373	12345	20663
374	12376	20626
375	12416	20605
376	12449	20572
377	12479	20535
378	12514	20505
379	12548	20474
380	12580	20439
381	12614	20407
382	12647	20374
383	12692	20360
384	12742	20355
385	12776	20322
386	12811	20292
387	12847	20264
388	12883	20235
389	12914	20199
390	12945	20163
391	12976	20126
392	13002	20082
393	13027	20037
394	13056	19997
395	13083	19955
396	13111	19914
397	13137	19871
398	13163	19828
399	13197	19796
400	13224	19753
401	13256	19719
402	13289	19687
403	13320	19651
404	13347	19609
405	13376	19570
406	13403	19528
407	13432	19490
408	13459	19448
409	13487	19409
410	13521	19377
411	13548	19335
412	13579	19300
413	13607	19261
414	13637	19223
415	13660	19177
416	13688	19137
417	13718	19100
418	13742	19056
419	13771	19017
420	13795	18973
421	13823	18933
422	13850	18893
423	13878	18854
424	13907	18815
425	13934	18774
426	13962	18735
427	13991	18698
428	14020	18661
429	14050	18625
430	14082	18591
431	14109	18551
432	14139	18515
433	14166	18475
434	14191	18432
435	14217	18391
436	14245	18352
437	14271	18312
438	14302	18277
439	14328	18236
440	14357	18199
441	14386	18162
442	14412	18121
443	14440	18083
444	14474	18052
445	14500	18011
446	14530	17975
447	14558	17938
448	14587	17900
449	14616	17864
450	14645	17827
451	14677	17794
452	14711	17764
453	14743	17730
454	14770	17692
455	14796	17652
456	14823	17613
457	14851	17575
458	14879	17537
459	14910	17504
460	14936	17464
461	14962	17423
462	14989	17385
463	15019	17350
464	15048	17313
465	15079	17280
466	15107	17242
467	15140	17210
468	15173	17178
469	15207	17149
470	15238	17114
471	15270	17081
472	15300	17047
473	15333	17016
474	15367	16984
475	15400	16953
476	15431	16919
477	15458	16881
478	15492	16850
479	15520	16814
480	15547	16776
481	15574	16738
482	15602	16701
483	15630	16664
484	15658	16626
485	15685	16589
486	15714	16553
487	15742	16516
488	15771	16481
489	15795	16440
490	15824	16404
491	15854	16369
492	15883	16334
493	15913	16300
494	15944	16266
495	15974	16232
496	16007	16200
497	16041	16169
498	16072	16136
499	16101	16101
500	16131	16067
501	16157	16028
502	16191	15998
503	16225	15967
504	16253	15931
505	16281	15895
506	16309	15859
507	16335	15821
508	16362	15783
509	16391	15748
510	16419	15712
511	16445	15674
512	16471	15637
513	16500	15601
514	16531	15568
515	16559	15532
516	16588	15497
517	16617	15462
518	16644	15426
519	16672	15389
520	16699	15353
521	16730	15320
522	16763	15289
523	16790	15251
524	16812	15211
525	16843	15178
526	16870	15141
527	16901	15109
528	16932	15075
529	16958	15038
530	16986	15003
531	17017	14970
532	17048	14937
533	17076	14902
534	17101	14863
535	17131	14830
536	17160	14795
537	17186	14759
538	17214	14723
539	17238	14684
540	17266	14649
541	17297	14616
542	17324	14581
543	17351	14544
544	17378	14508
545	17407	14474
546	17437	14440
547	17461	14402
548	17489	14367
549	17517	14332
550	17545	14297
551	17581	14268
552	17624	14245
553	17651	14210
554	17681	14176
